,Task,Contrast,Metric,Mean,t-score,p-value
0,flanker,incongruent-congruent,rt,25.39849014877015,9.745478877628067,2.4589526018244973e-14
1,flanker,incongruent-congruent,choice_accuracy,-0.01798947360656221,-3.953838753410065,0.0001924591193206711
2,cued_task_switching,cue_switch_task_stay-cue_stay_task_stay_,rt,20.867316877800924,4.081264067746989,0.00012488623729012914
3,cued_task_switching,cue_switch_task_stay-cue_stay_task_stay_,choice_accuracy,-0.0025947207469561788,-0.37399277306205464,0.709626895074487
4,cued_task_switching,cue_switch_task_switch-cue_stay_task_stay_,rt,24.082432683937153,5.315967346367378,1.3928331690028322e-06
5,cued_task_switching,cue_switch_task_switch-cue_stay_task_stay_,choice_accuracy,-0.03108508377491161,-5.1423824239781135,2.6954662347159372e-06
6,cued_task_switching,task_switch-cue_switch_,rt,3.2151158061362355,0.8142286213177728,0.41848702138058136
7,cued_task_switching,task_switch-cue_switch_,choice_accuracy,-0.02849036302795544,-4.051175254608124,0.00013840016039698313
8,predictable_task_switching,switch-stay,rt,45.43736672679566,8.610363363002923,2.4135828112895128e-12
9,predictable_task_switching,switch-stay,choice_accuracy,-0.04872527646139385,-6.951847582124275,2.109854429067206e-09
10,directed_forgetting,neg-con_,rt,26.027067215640376,6.21533528263297,4.11274663218326e-08
11,directed_forgetting,neg-con_,choice_accuracy,-0.05109650307018726,-4.489267469398918,2.9918725194822694e-05
12,directed_forgetting,pos-con_,rt,-41.267930003281556,-8.110887177109879,1.8544947464049446e-11
13,directed_forgetting,pos-con_,choice_accuracy,-0.05108687382699543,-4.3549231892973195,4.823307153556287e-05
14,shape_matching,DISTRACTOR-CONTROL,rt,29.138265613031145,8.510041836934443,3.6328265149398157e-12
15,shape_matching,DISTRACTOR-CONTROL,choice_accuracy,-0.014712001584143772,-3.3512320113413874,0.001343902897858177
16,n_back,2-1_,rt,37.002029576326095,3.767084622307993,0.00035808822752758353
17,n_back,2-1_,choice_accuracy,-0.09619986074214894,-7.3534059987034155,4.107262707657422e-10
18,n_back,3-1_,rt,44.435733267656865,4.211293223423123,7.976472197077577e-05
19,n_back,3-1_,choice_accuracy,-0.1995282208367951,-13.69541956551826,7.921148217897417e-21
