,SSRT_wThresh_SSDs,mean_SSD_wThresh_SSDs,p_respond_wThresh_SSDs,mean_go_RT_wThresh_SSDs,sd_go_RT_wThresh_SSDs,mean_stopfail_RT_wThresh_SSDs,sd_stopfail_RT_wThresh_SSDs,omission_count_wThresh_SSDs,omission_rate_wThresh_SSDs,go_acc_wThresh_SSDs,stopfail_acc_wThresh_SSDs,PSS_all_wThresh_SSDs,PSS_fail_wThresh_SSDs,PSS_success_wThresh_SSDs
SE,235.303,411.667,0.509,650.052,121.475,577.737,89.217,0.246,0.003,0.99,0.992,1.802,24.517,-22.125
cued_task_switching,,,,,,,,,,,,11.335,23.164,2.543
cued_task_switching_DC,263.29,449.849,0.52,726.011,132.133,654.67,98.119,0.6,0.015,0.926,0.962,11.705,23.541,1.464
cued_task_switching_DE,259.89,465.556,0.487,750.471,140.922,684.622,102.506,0.938,0.012,0.899,0.929,-0.915,7.27,-5.111
cued_task_switching_OTHER,258.865,451.612,0.455,748.879,140.232,663.321,92.252,0.415,0.01,0.93,0.959,28.809,24.911,26.457
directed_forgetting,,,,,,,,,,,,8.28,1.982,17.605
directed_forgetting_DC,266.524,325.981,0.621,587.854,127.832,568.367,106.158,0.446,0.011,0.966,0.984,11.131,17.252,11.514
directed_forgetting_DE,273.491,323.391,0.57,616.562,151.442,594.681,112.191,0.375,0.009,0.908,0.938,20.735,-19.392,87.527
directed_forgetting_OTHER,251.339,324.472,0.643,553.806,139.165,534.504,112.95,0.29,0.004,0.907,0.927,-3.281,-13.087,-6.79
flanker,,,,,,,,,,,,7.688,30.327,-18.432
flanker_DC,238.823,359.954,0.508,612.146,112.818,550.975,83.214,0.323,0.004,0.991,0.991,0.993,5.525,0.693
flanker_DE,237.371,384.009,0.497,636.46,114.287,584.247,91.216,0.292,0.004,0.975,0.965,12.971,29.774,-4.168
n_back,,,,,,,,,,,,6.341,58.753,-51.061
n_back_DC,256.03,435.863,0.517,690.404,147.724,627.969,143.946,0.516,0.008,0.918,0.913,23.65,84.797,-51.102
n_back_DE,284.327,413.617,0.472,729.343,178.989,643.279,163.604,0.569,0.009,0.816,0.868,0.103,71.165,-59.972
n_back_OTHER,286.08,424.723,0.473,739.604,180.418,640.081,162.466,0.781,0.013,0.713,0.756,15.317,49.568,-38.626
predictable_task_switching,,,,,,,,,,,,13.47,29.942,-4.466
predictable_task_switching_DC,242.691,432.81,0.495,694.535,139.685,617.246,94.247,0.508,0.006,0.926,0.943,-3.863,-2.38,-7.402
predictable_task_switching_DE,254.275,464.907,0.494,740.769,159.034,651.346,115.423,0.422,0.005,0.884,0.912,9.777,17.914,10.817
shape_matching,,,,,,,,,,,,6.106,21.803,-10.439
shape_matching_DC,270.733,385.12,0.502,672.468,113.842,622.686,92.099,0.297,0.004,0.976,0.982,8.727,17.682,4.223
shape_matching_DE,274.024,412.128,0.502,700.424,120.343,649.248,100.568,0.492,0.004,0.963,0.963,5.923,6.486,-2.981
shape_matching_OTHER,266.978,403.3,0.502,687.737,117.384,627.97,90.661,0.431,0.005,0.97,0.978,5.669,18.763,-1.294
