,Task,Contrast,Metric,Mean,t-score,p-value
0,flanker,incongruent-congruent,rt,21.746217519571477,5.6318612019789684,3.1592125898746153e-06
1,flanker,incongruent-congruent,choice_accuracy,-0.017039553273730496,-2.310752300393323,0.0274446802742088
2,cued_task_switching,cue_switch_task_stay-cue_stay_task_stay_,rt,21.82720281261788,2.8317390577743047,0.007940926441428384
3,cued_task_switching,cue_switch_task_stay-cue_stay_task_stay_,choice_accuracy,-0.0063738426783135314,-0.5617984551417025,0.5781673555021698
4,cued_task_switching,cue_switch_task_switch-cue_stay_task_stay_,rt,23.06253865737517,3.4698268197574884,0.0015109549939256112
5,cued_task_switching,cue_switch_task_switch-cue_stay_task_stay_,choice_accuracy,-0.0281295089838482,-3.5175872857789,0.0013279683131658924
6,cued_task_switching,task_switch-cue_switch_,rt,1.2353358447572909,0.22693105927727247,0.8219208653332385
7,cued_task_switching,task_switch-cue_switch_,choice_accuracy,-0.021755666305534667,-2.1874233596055244,0.036131942700850836
8,predictable_task_switching,switch-stay,rt,41.466351640003886,5.268109161916632,9.108318963657224e-06
9,predictable_task_switching,switch-stay,choice_accuracy,-0.04342087729084695,-4.869841065524735,2.899897260158434e-05
10,directed_forgetting,neg-con_,rt,22.543106302504334,3.741285606543221,0.0007201412889563264
11,directed_forgetting,neg-con_,choice_accuracy,-0.05429141876510294,-4.677359876110287,5.063396362749439e-05
12,directed_forgetting,pos-con_,rt,-41.272439599028075,-5.6446564149913865,3.043819091857655e-06
13,directed_forgetting,pos-con_,choice_accuracy,-0.06738424577365285,-5.422086767529289,5.817225482554426e-06
14,shape_matching,DISTRACTOR-CONTROL,rt,28.56472392616275,5.40065012766179,6.191896297824116e-06
15,shape_matching,DISTRACTOR-CONTROL,choice_accuracy,-0.013165953458029483,-2.0057868773722913,0.053395548162629924
16,n_back,2-1_,rt,13.476053665127749,1.2878833295025283,0.20702247005889512
17,n_back,2-1_,choice_accuracy,-0.10209622095800751,-5.419728783144656,5.8573021806188445e-06
18,n_back,3-1_,rt,17.10785821183472,1.5943795459328705,0.12068174122087548
19,n_back,3-1_,choice_accuracy,-0.18363502993295958,-8.601623178974267,7.887677206221271e-10
