,SSRT_wThresh_subs,mean_SSD_wThresh_subs,p_respond_wThresh_subs,mean_go_RT_wThresh_subs,sd_go_RT_wThresh_subs,mean_stopfail_RT_wThresh_subs,sd_stopfail_RT_wThresh_subs,omission_count_wThresh_subs,omission_rate_wThresh_subs,go_acc_wThresh_subs,stopfail_acc_wThresh_subs,PSS_all_wThresh_subs,PSS_fail_wThresh_subs,PSS_success_wThresh_subs
SE,235.13,425.651,0.488,669.178,117.648,596.404,93.717,0.344,0.004,0.988,0.99,0.894,25.548,-23.993
cued_task_switching,,,,,,,,,,,,10.181,19.66,4.024
cued_task_switching_DC,263.672,467.578,0.508,747.735,140.346,668.497,107.569,0.969,0.024,0.923,0.956,1.338,23.74,-7.738
cued_task_switching_DE,269.516,481.172,0.486,770.982,140.865,695.564,108.838,1.781,0.022,0.895,0.927,2.49,-2.782,7.33
cued_task_switching_OTHER,263.25,472.031,0.452,771.713,144.204,686.699,94.482,0.688,0.017,0.917,0.956,28.723,39.777,12.71
directed_forgetting,,,,,,,,,,,,-0.317,-7.22,1.084
directed_forgetting_DC,294.95,344.25,0.51,658.226,147.664,599.694,130.098,1.05,0.026,0.97,0.972,17.91,16.859,4.289
directed_forgetting_DE,304.474,348.684,0.482,687.113,179.337,611.272,126.33,0.737,0.018,0.912,0.903,-5.723,-54.422,30.663
directed_forgetting_OTHER,290.888,347.562,0.561,636.834,163.787,584.691,158.539,0.95,0.012,0.891,0.851,-16.026,-24.424,-7.137
flanker,,,,,,,,,,,,4.154,28.921,-21.686
flanker_DC,244.672,369.766,0.488,633.355,126.977,567.706,94.088,0.969,0.012,0.989,0.988,6.245,32.721,-18.37
flanker_DE,238.531,387.955,0.482,647.036,116.965,592.648,91.8,0.531,0.007,0.979,0.975,4.29,26.059,-22.13
n_back,,,,,,,,,,,,4.495,72.413,-62.896
n_back_DC,257.195,453.18,0.493,725.035,158.367,648.974,133.068,0.812,0.013,0.901,0.9,17.766,87.385,-36.062
n_back_DE,290.133,411.71,0.457,736.455,181.415,637.565,156.899,0.5,0.008,0.798,0.868,-15.041,91.385,-88.861
n_back_OTHER,277.396,427.727,0.462,740.143,177.547,630.119,147.209,1.152,0.019,0.719,0.733,6.07,66.375,-55.639
predictable_task_switching,,,,,,,,,,,,10.392,30.511,-7.351
predictable_task_switching_DC,238.312,457.031,0.494,714.83,143.603,636.071,105.968,1.094,0.014,0.916,0.936,-0.682,31.996,-36.73
predictable_task_switching_DE,249.0,483.594,0.487,757.939,164.551,663.275,130.768,1.031,0.013,0.872,0.909,22.223,28.395,18.353
shape_matching,,,,,,,,,,,,8.914,28.809,-14.366
shape_matching_DC,268.328,398.984,0.488,691.04,119.407,639.649,110.572,0.469,0.006,0.974,0.973,3.472,27.837,-20.91
shape_matching_DE,269.646,428.854,0.492,718.879,125.213,663.814,111.349,0.75,0.006,0.963,0.967,7.889,28.895,-17.407
shape_matching_OTHER,265.641,420.703,0.495,705.99,121.766,649.199,103.936,0.469,0.006,0.977,0.982,14.395,30.271,-3.346
